CT,Boro,Turnover
025000,Kings,1.5
025100,Kings,7.5
025200,Kings,3.7
025300,Kings,6.9
025400,Kings,15.5
025500,Kings,5.4
025600,Kings,2.4
025700,Kings,3.3
025800,Kings,7.4
025901,Kings,12.6
025902,Kings,1.4
026000,Kings,8.1
026100,Kings,8.5
026200,Kings,6.5
026300,Kings,7.6
026400,Kings,15.1
026500,Kings,17.6
026600,Kings,2.3
026700,Kings,17.3
026800,Kings,11.8
026900,Kings,7.8
027000,Kings,0.6
027101,Kings,16.0
027102,Kings,19.9
027200,Kings,20.2
027300,Kings,8.8
027400,Kings,4.0
027500,Kings,13.4
027600,Kings,22.5
027700,Kings,7.4
027800,Kings,5.3
027900,Kings,10.4
028000,Kings,8.2
028100,Kings,6.3
028200,Kings,6.3
028300,Kings,12.0
028400,Kings,9.3
028501,Kings,37.9
028502,Kings,5.5
028600,Kings,9.8
028700,Kings,21.1
028800,Kings,3.9
028900,Kings,4.8
029000,Kings,9.9
029100,Kings,14.2
029200,Kings,6.0
029300,Kings,14.0
029400,Kings,22.4
029500,Kings,5.3
029600,Kings,12.6
029700,Kings,6.4
029800,Kings,14.5
029900,Kings,12.5
030000,Kings,6.7
030100,Kings,7.1
030200,Kings,4.4
030300,Kings,12.4
030400,Kings,9.6
030600,Kings,1.7
030700,Kings,6.2
030800,Kings,2.3
030900,Kings,13.1
031100,Kings,15.7
031300,Kings,5.4
031400,Kings,3.9
031500,Kings,9.2
031701,Kings,12.0
031702,Kings,16.5
031900,Kings,7.6
032000,Kings,0.0
032100,Kings,9.9
032300,Kings,9.8
032500,Kings,7.1
032600,Kings,5.6
032700,Kings,10.8
032800,Kings,2.5
032900,Kings,6.5
033000,Kings,6.2
033100,Kings,7.3
033300,Kings,5.2
033500,Kings,6.5
033600,Kings,11.0
033700,Kings,6.9
033900,Kings,11.5
034000,Kings,5.5
034100,Kings,8.1
034200,Kings,8.5
034300,Kings,8.0
034500,Kings,17.0
034700,Kings,3.3
034801,Kings,10.4
034802,Kings,6.2
034900,Kings,10.5
035000,Kings,4.6
035100,Kings,10.3
035200,Kings,8.9
035300,Kings,7.3
035400,Kings,7.0
035500,Kings,5.4
035600,Kings,6.0
035700,Kings,2.4
035900,Kings,18.5
036001,Kings,3.5
036002,Kings,9.2
036100,Kings,11.4
036200,Kings,12.4
036300,Kings,6.5
036400,Kings,7.0
036501,Kings,9.4
036502,Kings,6.7
036600,Kings,18.1
036700,Kings,21.5
036900,Kings,12.5
037000,Kings,2.7
037100,Kings,9.3
037300,Kings,12.4
037400,Kings,5.1
037500,Kings,16.6
037700,Kings,9.9
037900,Kings,10.2
038100,Kings,3.4
038200,Kings,3.8
038300,Kings,5.9
038500,Kings,7.8
038600,Kings,5.8
038700,Kings,8.2
038800,Kings,4.3
038900,Kings,16.6
039000,Kings,0.2
039100,Kings,8.5
039200,Kings,7.3
039300,Kings,18.6
039400,Kings,3.6
039500,Kings,17.7
039600,Kings,4.3
039700,Kings,18.8
039800,Kings,10.8
039900,Kings,14.0
040000,Kings,18.8
040100,Kings,19.1
040200,Kings,7.5
040300,Kings,13.8
040400,Kings,4.0
040500,Kings,17.7
040600,Kings,8.8
040700,Kings,0.0
040800,Kings,10.7
040900,Kings,21.1
041000,Kings,6.4
041100,Kings,13.2
041200,Kings,10.7
041300,Kings,4.2
041401,Kings,11.6
041402,Kings,8.2
041500,Kings,13.1
041600,Kings,4.7
041700,Kings,5.6
041800,Kings,10.8
041900,Kings,8.0
042000,Kings,1.7
042100,Kings,14.9
042200,Kings,7.4
042300,Kings,19.9
042400,Kings,4.7
042500,Kings,17.8
042600,Kings,1.4
042700,Kings,10.7
042800,Kings,5.4
042900,Kings,13.6
043000,Kings,8.0
043100,Kings,14.6
043200,Kings,6.3
043300,Kings,5.2
043400,Kings,10.6
043500,Kings,14.7
043600,Kings,6.2
043700,Kings,14.1
043800,Kings,8.1
043900,Kings,7.9
044000,Kings,4.5
044100,Kings,24.5
044200,Kings,1.4
044300,Kings,19.0
044400,Kings,5.1
044500,Kings,9.5
044600,Kings,1.1
044700,Kings,9.7
044800,Kings,6.2
045000,Kings,4.9
045200,Kings,2.9
045300,Kings,12.7
045400,Kings,3.7
045500,Kings,0.0
045600,Kings,5.0
045800,Kings,1.5
046001,Kings,7.6
